pl_discmethod,pl_disc,pl_locale,ra,dec,st_glon,st_glat,st_elon,st_elat,st_dist,st_optmag,st_optband,st_teff,st_mass,st_rad,st_sp,st_spstr,st_logg,st_lum,st_metfe,st_metratio,st_vsini,pl_hostname,pl_letter,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmasse,pl_bmassprov,pl_rade,pl_tranflag,pl_rvflag,pl_imgflag,pl_astflag,pl_omflag,pl_cbflag
Imaging,2011,Ground,224.620833,10.228611,9.594193,55.655091,218.819332,25.969066,23.1,,,580.5,0.02,,,,4.72,,,,,CFBDSIR J145829+101343,b,1,10037.5,2.6,,3337.1,Mass,,0,0,1,0,0,0
Imaging,2006,Space,166.619893,-77.625877,297.277725,-15.921642,238.71138,-66.332993,,,,,0.35,,6.35,M3.5,,,,,,CHXR 73,b,1,,210,,3994.486,Mass,,0,0,1,0,0,0
Imaging,2007,Ground,166.037877,-76.455383,296.653702,-14.909141,235.834353,-66.126704,165,,,,,,,,,,,,,CT Cha,b,1,,440,,5403,Mass,24.66,0,0,1,0,0,0
Transit,2008,Space,102.079885,-3.102147,215.338871,-2.107038,103.441849,-25.979515,,13.6,V (Johnson),5950,0.95,1.11,4,G0 V,4.25,,-0.3,[M/H],5.2,CoRoT-1,b,1,1.5089557,,0,327.35,Mass,16.7,1,1,0,0,1,0
Transit,2010,Space,291.063708,0.746143,37.36077,-6.952866,292.896039,22.526734,345,15.22,V (Johnson),5075,0.89,0.79,5.1,K1 V,4.65,,0.26,[Fe/H],2,CoRoT-10,b,1,13.2406,0.1055,0.53,874,Mass,10.87,1,1,0,0,0,0
Transit,2010,Space,280.687263,5.937688,37.240052,4.630184,282.166083,28.926737,560,12.939,V (Johnson),6440,1.27,1.37,3.6,F6 V,4.22,,-0.03,[Fe/H],40,CoRoT-11,b,1,2.99433,0.0436,0,740.51,Mass,16.03,1,1,0,0,0,0
Transit,2010,Space,100.765677,-1.296439,213.131579,-2.454352,101.823072,-24.29496,1150,15.515,V (Johnson),5675,1.08,1.12,,,4.38,,0.16,[Fe/H],1,CoRoT-12,b,1,2.828042,0.04016,0.07,291.438,Mass,16.14,1,1,0,0,0,0
Transit,2010,Space,102.721137,-5.086445,217.398629,-2.439602,104.369342,-27.893388,1060,15.039,V (Johnson),5945,1.09,1.01,4,G0 V,4.46,,0.01,[Fe/H],4,CoRoT-13,b,1,4.03519,0.051,0,415.704,Mass,9.92,1,1,0,0,0,0
Transit,2010,Space,103.424211,-5.536037,218.117909,-2.02052,105.210636,-28.269246,1340,16.033,V (Johnson),6035,1.13,1.21,3.9,F9 V,4.35,,0.05,[Fe/H],9,CoRoT-14,b,1,1.51214,0.027,0,2415.4,Mass,12.22,1,1,0,0,0,0
Transit,2011,Space,278.524691,-6.002595,25.61429,1.101176,278.876385,17.174411,840,15.63,V (Johnson),5650,1.1,1.19,4.5,G5 V,4.36,,0.19,[M/H],1,CoRoT-16,b,1,5.35227,0.0618,0.33,170.032,Mass,13.11,1,1,0,0,0,0
